video_file,timestamp_start,timestamp_end,evidence_type,screen_or_feature,observation,confidence,related_document
"Claude + Hermes Agent_ NEW Agent OS is INSANE!.mp4","00:01:00","00:01:00","OBSERVED","Mission Control","Dark shell with KPI and agent cards",high,"VIDEO-002"
"Claude + Hermes Agent_ NEW Agent OS is INSANE!.mp4","00:02:00","00:02:00","OBSERVED","Goals","Goal metrics progress and board region visible",high,"VIDEO-002"
"Claude + Hermes Agent_ NEW Agent OS is INSANE!.mp4","00:04:00","00:07:00","OBSERVED","Editor and code","Code editor is shown adjacent to product UI",high,"VIDEO-002"
"Claude + Hermes Agent_ NEW Agent OS is INSANE!.mp4","00:08:00","00:12:00","OBSERVED","Hermes","Hermes agent page and conversation are visible",high,"VIDEO-002"
"Claude + Hermes Agent_ NEW Agent OS is INSANE!.mp4","00:20:00","00:23:00","OBSERVED","Claude","Claude agent page is visible in same shell",high,"VIDEO-002"
"Claude + Hermes Agent_ NEW Agent OS is INSANE!.mp4","00:34:00","00:34:00","OBSERVED","MCP documentation","External MCP server documentation is shown",high,"VIDEO-002"
"Hermes Agent Desktop vs Agent OS- Which Wins..mp4","00:00:22","00:00:52","STATED","Mission Control","Narrator contrasts mission control and desktop agent artifacts",medium,"VIDEO-002"
"Hermes Agent Desktop vs Agent OS- Which Wins..mp4","00:01:00","00:04:00","OBSERVED","Hermes Desktop comparison","Bright external desktop screens alternate with dark Agent OS",high,"VIDEO-002"
"Hermes Agent Desktop vs Agent OS- Which Wins..mp4","00:04:09","00:05:31","STATED","Studio","Narrator describes switching among image video and voice",medium,"VIDEO-002"
"Hermes Agent Desktop vs Agent OS- Which Wins..mp4","00:06:24","00:06:24","STATED","Workspace","Narrator says workspace is ready",medium,"VIDEO-002"
"Hermes Agent Desktop vs Agent OS- Which Wins..mp4","00:07:12","00:08:56","STATED","Profiles and teams","Narrator describes multiple profiles teams and shared dashboard",medium,"VIDEO-002"
"Hermes Agent Desktop vs Agent OS- Which Wins..mp4","00:08:42","00:08:56","OBSERVED","Mission Control","Unified dashboard shell is visible",high,"VIDEO-002"
"How to Build Your Own Agent Operating System.mp4","00:00:03","00:00:25","STATED","Value proposition","Narrator describes scattered tools context loss and one dashboard",medium,"VIDEO-003"
"How to Build Your Own Agent Operating System.mp4","00:01:23","00:01:55","STATED","Studio and control room","OpenClaw and Hermes studio and workspace are described",medium,"VIDEO-002"
"How to Build Your Own Agent Operating System.mp4","00:04:31","00:04:47","STATED","Memory","Narrator contrasts repeated explanation with built-in context",medium,"VIDEO-002"
"How to Build Your Own Agent Operating System.mp4","00:07:21","00:09:03","STATED","Obsidian memory","Narrator presents external notes as a memory layer",medium,"VIDEO-002"
"How to Build Your Own Agent Operating System.mp4","00:12:20","00:12:56","STATED","Shared memory","Shared agent workspace and memory updates are discussed",medium,"VIDEO-002"
"How to Build Your Own Agent Operating System.mp4","00:15:25","00:15:29","STATED","Artifacts","Narrator claims media outputs are auto-saved and previewable",medium,"VIDEO-002"
"How to Build Your Own Agent Operating System.mp4","00:17:18","00:17:18","STATED","Autonomy","Long-horizon autonomous task work is claimed",low,"VIDEO-003"
"How to Build Your Own Agent Operating System.mp4","00:18:25","00:18:46","OBSERVED","Mission Control","Dashboard and named module navigation appear",high,"VIDEO-002"
"How to Build Your Own Agent Operating System.mp4","00:22:12","00:24:14","STATED","Command center","One dashboard workspace Studio goals and Kanban are described",medium,"VIDEO-002"
"How to Build Your Own Agent Operating System.mp4","00:24:58","00:25:07","STATED","Memory write-back","Narrator says outputs flow back into structured notes",medium,"VIDEO-003"
"How to Build Your Own Agent Operating System.mp4","00:27:52","00:30:13","STATED","Seven layers","Foundation memory brain agents command action and loop are summarized",medium,"VIDEO-003"
"How to Build Your Own Agent OS (FREE) - external reference.mp4","00:01:07","00:01:30","STATED","Mission Control","Narrator calls it a dashboard and home base",medium,"VIDEO-002"
"How to Build Your Own Agent OS (FREE) - external reference.mp4","00:02:46","00:03:42","STATED","MCP and voice","Email MCP and voice machine actions are claimed",low,"VIDEO-002"
"How to Build Your Own Agent OS (FREE) - external reference.mp4","00:03:54","00:04:21","OBSERVED","Studio","Media gallery and Hermes shell are visible",high,"VIDEO-002"
"How to Build Your Own Agent OS (FREE) - external reference.mp4","00:05:00","00:05:07","STATED","Agents and skills","Agent switching and saved skills are described",medium,"VIDEO-002"
"How to Build Your Own Agent OS (FREE) - external reference.mp4","00:05:56","00:06:31","STATED","Goal Mode","Hours-long goal work and completion checking are claimed",low,"VIDEO-002"
"How to Build Your Own Agent OS (FREE) - external reference.mp4","00:07:01","00:07:05","STATED","Skills and goals","Saving skills and handing off goals are recommended",medium,"VIDEO-003"
